회사명,거래소코드,회계년도,기업가치(EV)(IFRS),EBITDA(IFRS),EBITDA/매출액(IFRS),EV/EBITDA(IFRS),PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS연결),투자활동으로 인한 현금흐름(*)(요약)(IFRS연결),재무활동으로 인한 현금흐름(*)(요약)(IFRS연결),현금및현금성자산의 증가(요약)(IFRS연결)
(주)골프존뉴딘홀딩스,121440,2017/12,250613.63,-1238.7,-5.27,0,0,0,0.71,0.43,0,0,14.11,8.59,-1174,-754,16166,14238
(주)골프존뉴딘홀딩스,121440,2018/12,212299.51,-6317.72,-39.24,0,0,0,0.57,0.32,0,0,16.87,9.6,-20158,-36753,23662,-33260
(주)골프존뉴딘홀딩스,121440,2019/12,205767.43,-14304.17,-53.18,0,0,0,0.48,0.31,80.87,51.35,7.94,5.04,5656,15356,-3462,17677
(주)골프존뉴딘홀딩스,121440,2020/12,287852.42,38802.74,67.51,7.42,11.66,2.6,0.69,0.15,60.68,13.53,5.51,1.23,25587,50006,-20179,55301
(주)골프존뉴딘홀딩스,121440,2021/12,434096.77,62343.69,77.79,6.96,3.58,1.67,0.81,0.38,70.66,32.87,5.99,2.78,21104,-67909,-13025,-59631
(주)공구우먼,366030,2017/12,,,,,,,,,,,,,,,,
(주)공구우먼,366030,2018/12,,,,,,,,,,,,,,,,
(주)공구우먼,366030,2019/12,,,,,,,,,,,,,,,,
(주)공구우먼,366030,2020/12,-9199.95,5807.01,17.77,-1.58,0,0,0,0,0,0,0,0,,,,
(주)공구우먼,366030,2021/12,-1104.11,10841.69,22.91,-0.1,0,0,0,0,0,0,0,0,,,,
(주)광림,014200,2011/12,39612.28,6918.72,6.5,5.73,17.93,7.39,0.84,0.35,3.9,1.61,0.43,0.18,,,,
(주)광림,014200,2012/12,36597.9,2294.97,2.69,15.95,142.81,44.71,1.34,0.42,30.42,9.52,0.98,0.31,,,,
(주)광림,014200,2013/12,29755.81,4181.04,4.04,7.12,36.35,19.17,0.93,0.49,4.08,2.15,0.57,0.3,,,,
(주)광림,014200,2014/12,49102.56,2685.79,2.9,18.28,35.21,23.61,0.61,0.41,0,0,0.43,0.29,-6345,-13004,20105,752
(주)광림,014200,2015/12,83122.18,5064.36,2.13,16.41,14.05,3.06,1.62,0.35,0,0,0.55,0.12,,,,
(주)광림,014200,2016/12,405593.74,982.38,1.13,412.87,1397.15,314.49,6.84,1.54,185.82,41.83,7,1.58,3288,-11978,19604,10956
